,0
ENGINE_RPM ()_std,0.5672806191109498
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_mean,0.05434551824595101
ENGINE_LOAD ()_mean,0.03596713767208889
LONG_TERM_FUEL_TRIM_BANK_1 ()_mean,0.023968732200709903
ENGINE_RPM ()_mean,0.02002024582889158
ABSOLUTE_BAROMETRIC_PRESSURE ()_roc,0.01828561597202001
COOLANT_TEMPERATURE ()_min,0.016342784198048993
ENGINE_LOAD ()_min,0.012973869769866319
COOLANT_TEMPERATURE ()_mean,0.01288633503676916
INTAKE_MANIFOLD_PRESSURE ()_std,0.01239933999305516
PEDAL_E ()_roc,0.011549189854795685
LONG_TERM_FUEL_TRIM_BANK_1 ()_std,0.011139111196138335
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_min,0.011065910236713402
TIME_RUN_WITH_MIL_ON ()_roc,0.010650398465590752
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_mean,0.01055039450006383
TIMING_ADVANCE ()_std,0.009893749654158254
INTAKE_MANIFOLD_PRESSURE ()_mean,0.009658980933955496
SHORT_TERM_FUEL_TRIM_BANK_1 ()_mean,0.008463667608302418
PEDAL_D ()_min,0.007493802957211018
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_mean,0.0074621727694142714
FUEL_TANK ()_min,0.007460695245001539
FUEL_TANK ()_max,0.007275951663803768
SHORT_TERM_FUEL_TRIM_BANK_1 ()_roc,0.006963068264315233
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_max,0.006684138777476347
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_roc,0.006664833440272417
SHORT_TERM_FUEL_TRIM_BANK_1 ()_std,0.0064581056686277265
VEHICLE_SPEED ()_mean,0.00535247637181375
PEDAL_E ()_std,0.005027709757746225
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_roc,0.004712188191536292
ENGINE_RPM ()_min,0.004493951286397043
INTAKE_AIR_TEMP ()_std,0.0040986491916662985
FUEL_TANK ()_mean,0.003842342554176948
FUEL_TANK ()_std,0.0034462268803606994
INTAKE_MANIFOLD_PRESSURE ()_max,0.0033569045501254387
THROTTLE ()_max,0.003076307850228331
TIMING_ADVANCE ()_mean,0.0026329963225063726
ABSOLUTE_THROTTLE_B ()_std,0.002558027485083322
LONG_TERM_FUEL_TRIM_BANK_1 ()_roc,0.0024830387544457866
THROTTLE ()_min,0.0022007602192434957
INTAKE_AIR_TEMP ()_mean,0.002182357224157785
LONG_TERM_FUEL_TRIM_BANK_1 ()_max,0.002013369528022608
PEDAL_D ()_std,0.0018617848566121044
TIME_RUN_WITH_MIL_ON ()_std,0.0018367783086971191
INTAKE_AIR_TEMP ()_max,0.001823388277395152
INTAKE_AIR_TEMP ()_roc,0.0017803424730244892
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_std,0.0016467053530939614
TIMING_ADVANCE ()_max,0.0016056244085757621
ENGINE_LOAD ()_roc,0.0015745862067128526
ENGINE_RPM ()_roc,0.0015728980270721695
COOLANT_TEMPERATURE ()_roc,0.0014758238797358309
CONTROL_MODULE_VOLTAGE ()_roc,0.0014756214452030364
PEDAL_E ()_max,0.0014058564953646968
COOLANT_TEMPERATURE ()_max,0.0013721120094919664
THROTTLE ()_roc,0.0013316305949523139
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_max,0.0012775774530679822
VEHICLE_SPEED ()_std,0.001166312282080216
FUEL_TANK ()_roc,0.0010613181808294856
PEDAL_D ()_max,0.0008023046916384824
TIME_RUN_WITH_MIL_ON ()_max,0.0007808961730743222
CONTROL_MODULE_VOLTAGE ()_std,0.0007806540713908931
LONG_TERM_FUEL_TRIM_BANK_1 ()_min,0.0007601224806298103
CONTROL_MODULE_VOLTAGE ()_mean,0.0007358977407912663
TIMING_ADVANCE ()_roc,0.0007287377979654045
ABSOLUTE_BAROMETRIC_PRESSURE ()_mean,0.0006453098003990268
ABSOLUTE_THROTTLE_B ()_mean,0.0005696406593483188
ABSOLUTE_THROTTLE_B ()_min,0.000512938839885794
PEDAL_D ()_mean,0.0005039547940388285
ABSOLUTE_BAROMETRIC_PRESSURE ()_std,0.0004184614345398558
INTAKE_AIR_TEMP ()_min,0.00038351841643588497
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_min,0.0003727087731580789
TIME_RUN_WITH_MIL_ON ()_mean,0.00036010564001766354
ENGINE_LOAD ()_max,0.00033862961733412524
TIME_RUN_WITH_MIL_ON ()_min,0.0003199804468416614
ENGINE_RPM ()_max,0.00028966738368894137
CONTROL_MODULE_VOLTAGE ()_min,0.0002149724170895516
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_std,0.00020968928839014278
INTAKE_MANIFOLD_PRESSURE ()_roc,0.00013510949497190492
SHORT_TERM_FUEL_TRIM_BANK_1 ()_max,0.00013481126997971174
ABSOLUTE_THROTTLE_B ()_max,0.0001114737463171493
TIMING_ADVANCE ()_min,6.706001758559642e-05
CONTROL_MODULE_VOLTAGE ()_max,5.980816956394988e-05
ABSOLUTE_THROTTLE_B ()_roc,3.0831331816521766e-05
PEDAL_E ()_mean,2.1532193005538275e-05
COMMANDED_THROTTLE_ACTUATOR ()_mean,1.532638876125012e-05
PEDAL_D ()_roc,1.5296551336496376e-05
TIME_SINCE_TROUBLE_CODES_CLEARED ()_max,1.4673631473274407e-05
TIME_SINCE_TROUBLE_CODES_CLEARED ()_roc,8.758763206837508e-06
THROTTLE ()_std,7.08780195788853e-06
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_min,1.7609656963481794e-09
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_std,1.4343175441178125e-09
DISTANCE_TRAVELED_WITH_MIL_ON ()_min,1.2944716274853503e-09
TIME_SINCE_TROUBLE_CODES_CLEARED ()_mean,0.0
THROTTLE ()_mean,0.0
VEHICLE_SPEED ()_roc,0.0
VEHICLE_SPEED ()_min,0.0
VEHICLE_SPEED ()_max,0.0
ABSOLUTE_BAROMETRIC_PRESSURE ()_min,0.0
TIME_SINCE_TROUBLE_CODES_CLEARED ()_std,0.0
COMMANDED_EVAPORATIVE_PURGE ()_roc,0.0
DISTANCE_TRAVELED_WITH_MIL_ON ()_mean,0.0
DISTANCE_TRAVELED_WITH_MIL_ON ()_std,0.0
DISTANCE_TRAVELED_WITH_MIL_ON ()_max,0.0
TIME_SINCE_TROUBLE_CODES_CLEARED ()_min,0.0
COMMANDED_EVAPORATIVE_PURGE ()_max,0.0
COMMANDED_EVAPORATIVE_PURGE ()_min,0.0
ABSOLUTE_BAROMETRIC_PRESSURE ()_max,0.0
COMMANDED_EVAPORATIVE_PURGE ()_std,0.0
COMMANDED_EVAPORATIVE_PURGE ()_mean,0.0
ENGINE_LOAD ()_std,0.0
COOLANT_TEMPERATURE ()_std,0.0
SHORT_TERM_FUEL_TRIM_BANK_1 ()_min,0.0
INTAKE_MANIFOLD_PRESSURE ()_min,0.0
PEDAL_E ()_min,0.0
COMMANDED_THROTTLE_ACTUATOR ()_std,0.0
COMMANDED_THROTTLE_ACTUATOR ()_max,0.0
COMMANDED_THROTTLE_ACTUATOR ()_min,0.0
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_roc,0.0
COMMANDED_THROTTLE_ACTUATOR ()_roc,0.0
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_max,0.0
DISTANCE_TRAVELED_WITH_MIL_ON ()_roc,0.0
