,0
ENGINE_RPM ()_std,0.5112413225617976
COMMANDED_THROTTLE_ACTUATOR ()_std,0.19770813824219122
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_mean,0.08103938795675697
LONG_TERM_FUEL_TRIM_BANK_1 ()_mean,0.06434171951385483
TIMING_ADVANCE ()_min,0.02365826671761897
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_max,0.013119877185567614
TIME_RUN_WITH_MIL_ON ()_max,0.012148778893521317
INTAKE_AIR_TEMP ()_min,0.00874915887956191
ABSOLUTE_BAROMETRIC_PRESSURE ()_max,0.008667452836351116
TIMING_ADVANCE ()_std,0.005449548343220416
TIME_SINCE_TROUBLE_CODES_CLEARED ()_max,0.00536004578536497
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_mean,0.004811571414382515
ABSOLUTE_BAROMETRIC_PRESSURE ()_std,0.004711344442042186
ENGINE_RPM ()_roc,0.0036662539359673865
LONG_TERM_FUEL_TRIM_BANK_1 ()_max,0.0035015672028656758
LONG_TERM_FUEL_TRIM_BANK_1 ()_roc,0.0033323257529855196
INTAKE_AIR_TEMP ()_max,0.0033064014096966243
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_std,0.002800970816259975
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_roc,0.0026010304622917525
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_std,0.002556982623404696
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_max,0.00240959437981653
LONG_TERM_FUEL_TRIM_BANK_1 ()_std,0.002273191608303388
CONTROL_MODULE_VOLTAGE ()_roc,0.0022414536409758033
INTAKE_AIR_TEMP ()_roc,0.0022157802224019277
INTAKE_AIR_TEMP ()_std,0.0021050179166614514
COOLANT_TEMPERATURE ()_roc,0.002059401666956293
TIME_RUN_WITH_MIL_ON ()_std,0.0018144414491704569
CONTROL_MODULE_VOLTAGE ()_mean,0.0017632621646006394
TIME_RUN_WITH_MIL_ON ()_roc,0.0016512594107132397
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_min,0.0016446820409032562
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_roc,0.0016066883835152664
ENGINE_LOAD ()_roc,0.0014983509474666941
COOLANT_TEMPERATURE ()_std,0.001463759831254488
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_std,0.0014571263925459987
ABSOLUTE_BAROMETRIC_PRESSURE ()_roc,0.0011698631249658234
VEHICLE_SPEED ()_roc,0.0010958662046204992
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_roc,0.0010099092672471457
TIMING_ADVANCE ()_roc,0.0009965407122459427
CONTROL_MODULE_VOLTAGE ()_std,0.0009875571678385569
INTAKE_MANIFOLD_PRESSURE ()_roc,0.0008407833934246438
SHORT_TERM_FUEL_TRIM_BANK_1 ()_roc,0.0008313490987673751
ABSOLUTE_THROTTLE_B ()_roc,0.0008125063239569581
CONTROL_MODULE_VOLTAGE ()_max,0.000757833982372136
PEDAL_E ()_roc,0.0007278059243869285
DISTANCE_TRAVELED_WITH_MIL_ON ()_max,0.0005761594245757618
COMMANDED_EVAPORATIVE_PURGE ()_std,0.0003300553913164269
CONTROL_MODULE_VOLTAGE ()_min,0.00032915774061465034
COMMANDED_EVAPORATIVE_PURGE ()_min,0.0001564230414419968
COMMANDED_EVAPORATIVE_PURGE ()_max,0.000136849496847447
COMMANDED_THROTTLE_ACTUATOR ()_roc,0.00013112228109865803
COMMANDED_EVAPORATIVE_PURGE ()_roc,6.735862395990442e-05
COMMANDED_EVAPORATIVE_PURGE ()_mean,5.804943639208548e-05
TIME_SINCE_TROUBLE_CODES_CLEARED ()_roc,8.654332938425888e-06
DISTANCE_TRAVELED_WITH_MIL_ON ()_std,0.0
DISTANCE_TRAVELED_WITH_MIL_ON ()_roc,0.0
