feature,builtin_importance,perm_importance_mean,perm_importance_std
ENGINE_RPM ()_std,0.15234133358153695,0.016290322580645177,0.0016839204046629906
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_mean,0.107312891588296,0.0033064516129032604,0.0007608049300045389
ENGINE_LOAD ()_mean,0.08569244912324174,0.0011290322580645774,0.000534939482315416
SHORT_TERM_FUEL_TRIM_BANK_1 ()_mean,0.07342974268771317,0.0006451612903226156,0.00032258064516130783
LONG_TERM_FUEL_TRIM_BANK_1 ()_mean,0.04922923517795577,0.0008870967741935965,0.0006698890212031068
INTAKE_MANIFOLD_PRESSURE ()_mean,0.03995463781767218,-0.0001612903225806206,0.00048387096774191727
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_mean,0.033091925290157094,0.0001612903225806539,0.0003225806451613077
ENGINE_RPM ()_roc,0.01844725498348039,0.0003225806451613078,0.0003950789907715018
ENGINE_RPM ()_mean,0.01807470237586558,-0.0011290322580644664,0.0003950789907715017
LONG_TERM_FUEL_TRIM_BANK_1 ()_std,0.015508493651229934,8.064516129032694e-05,0.0002419354838709808
COOLANT_TEMPERATURE ()_mean,0.015380488253776484,8.064516129032694e-05,0.0002419354838709808
INTAKE_MANIFOLD_PRESSURE ()_std,0.015075911566518937,0.00024193548387098086,0.00036956255604484584
ENGINE_LOAD ()_min,0.014629956273277261,-0.000645161290322549,0.000603493126899008
TIMING_ADVANCE ()_max,0.013954483132770108,0.000161290322580665,0.0004838709677419395
CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_roc,0.013460047569611592,0.0005645161290322887,0.00036956255604484584
TIMING_ADVANCE ()_mean,0.013213267546672186,-0.0013709677419354472,0.00036956255604484584
TIMING_ADVANCE ()_std,0.012577896752993438,0.00040322580645163475,0.00040322580645163475
INTAKE_AIR_TEMP ()_mean,0.01215411790024335,8.064516129032694e-05,0.0002419354838709808
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_mean,0.01180470261567531,-0.00129032258064512,0.0003950789907715017
ENGINE_LOAD ()_roc,0.01170160145318089,0.0,0.0
PEDAL_E ()_std,0.011449750575545118,0.0004838709677419617,0.0003950789907715018
THROTTLE ()_max,0.011373246895408471,0.0005645161290322887,0.00036956255604484584
ABSOLUTE_THROTTLE_B ()_std,0.011328418140548167,0.00016129032258067612,0.0006034931268990199
ENGINE_RPM ()_min,0.011152548944481,-0.0008870967741934965,0.00043428748444633184
THROTTLE ()_min,0.011025190426894323,1.1102230246251566e-17,0.0003606561254031866
LONG_TERM_FUEL_TRIM_BANK_1 ()_max,0.01085100069528077,-8.064516129029365e-05,0.0005645161290322459
CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_max,0.010804768928143813,8.064516129032694e-05,0.0002419354838709808
INTAKE_AIR_TEMP ()_roc,0.010270325341370005,8.064516129032694e-05,0.0002419354838709808
FUEL_TANK ()_std,0.009962728423159838,8.064516129034916e-05,0.0005645161290322538
SHORT_TERM_FUEL_TRIM_BANK_1 ()_std,0.009829787334365514,-0.00040322580645157924,0.00040322580645157924
INTAKE_MANIFOLD_PRESSURE ()_max,0.009817823863674476,0.0001612903225806539,0.0003225806451613077
FUEL_TANK ()_mean,0.009781196586429614,0.0004838709677419617,0.0003950789907715018
FUEL_TANK ()_max,0.009605568605933352,0.00040322580645164586,0.0005409841881047923
INTAKE_AIR_TEMP ()_max,0.009369589429530782,-8.064516129030475e-05,0.00043428748444631737
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_std,0.009305500621736257,0.0006451612903226156,0.00032258064516130783
TIME_RUN_WITH_MIL_ON ()_roc,0.009291540439699743,0.0,0.0
LONG_TERM_FUEL_TRIM_BANK_1 ()_roc,0.009254531264428077,0.0001612903225806539,0.0003225806451613077
PEDAL_D ()_std,0.00923913235319572,0.00040322580645163475,0.00040322580645163475
VEHICLE_SPEED ()_mean,0.009064353821552277,-0.0004838709677418951,0.00039507899077144735
INTAKE_AIR_TEMP ()_std,0.00896124757383033,0.0,0.0
TIME_RUN_WITH_MIL_ON ()_std,0.008875196127353402,-0.0005645161290322332,0.0006298588448311661
ABSOLUTE_BAROMETRIC_PRESSURE ()_roc,0.008416199087939504,2.2204460492503132e-17,0.0005100447838981183
PEDAL_E ()_roc,0.008106424134830138,0.00024193548387098086,0.00036956255604484584
COOLANT_TEMPERATURE ()_min,0.008000137252285534,-0.0006451612903225268,0.00032258064516126343
SHORT_TERM_FUEL_TRIM_BANK_1 ()_roc,0.007805309289991789,8.064516129032694e-05,0.0002419354838709808
COOLANT_TEMPERATURE ()_roc,0.007257812271049534,0.0008064516129032695,0.0
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_roc,0.006785350419720367,0.0,0.0
FUEL_TANK ()_min,0.006368932312826913,-0.0007258064516128427,0.00024193548387094752
PEDAL_D ()_min,0.004864405004304857,0.0,0.0
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_min,0.004746844492622053,-0.0007258064516128427,0.00024193548387094752
