Feature,VIF
FUEL_TANK ()_max,84.93027701991446
SHORT_TERM_FUEL_TRIM_BANK_1 ()_mean,77.57107192314207
PEDAL_E ()_max,67.13334148128664
FUEL_TANK ()_mean,66.61326709118097
PEDAL_D ()_max,65.05481806510176
FUEL_TANK ()_min,64.54259693941037
SHORT_TERM_FUEL_TRIM_BANK_1 ()_min,63.95197262789757
SHORT_TERM_FUEL_TRIM_BANK_1 ()_max,57.59572910555858
VEHICLE_SPEED ()_min,57.3263966360026
ABSOLUTE_THROTTLE_B ()_max,56.01764888345712
VEHICLE_SPEED ()_mean,52.689623180896795
SHORT_TERM_FUEL_TRIM_BANK_1 ()_std,51.239065290578004
VEHICLE_SPEED ()_max,51.119473935721786
PEDAL_E ()_mean,50.12490037713269
PEDAL_D ()_mean,49.36873256269631
ENGINE_LOAD ()_min,48.968012919224265
INTAKE_MANIFOLD_PRESSURE ()_max,42.41078503187564
FUEL_TANK ()_std,41.33886565167099
THROTTLE ()_mean,39.39713364587378
THROTTLE ()_std,38.136070995229716
PEDAL_D ()_min,37.28124139374266
ENGINE_LOAD ()_max,31.14519085502495
INTAKE_MANIFOLD_PRESSURE ()_min,30.65895912192576
ENGINE_LOAD ()_mean,30.457370767348202
ENGINE_LOAD ()_std,29.76511067969404
PEDAL_E ()_std,28.262209020237204
VEHICLE_SPEED ()_std,27.551003730289537
THROTTLE ()_max,26.608528743660205
INTAKE_MANIFOLD_PRESSURE ()_mean,26.58316182028126
THROTTLE ()_min,21.367416749737863
INTAKE_MANIFOLD_PRESSURE ()_std,18.602091910768507
ABSOLUTE_THROTTLE_B ()_std,14.422017285717198
LONG_TERM_FUEL_TRIM_BANK_1 ()_min,11.67858143161434
LONG_TERM_FUEL_TRIM_BANK_1 ()_std,9.876055357345995
LONG_TERM_FUEL_TRIM_BANK_1 ()_max,9.483081779297967
LONG_TERM_FUEL_TRIM_BANK_1 ()_mean,9.422862285887538
COMMANDED_THROTTLE_ACTUATOR ()_std,6.930204321600942
ENGINE_RPM ()_std,6.285673408519219
PEDAL_E ()_roc,5.841044472007675
ABSOLUTE_THROTTLE_B ()_roc,5.367956506835301
VEHICLE_SPEED ()_roc,4.57190318794278
SHORT_TERM_FUEL_TRIM_BANK_1 ()_roc,4.3152964377831395
COOLANT_TEMPERATURE ()_std,2.351782231096879
COOLANT_TEMPERATURE ()_roc,2.053146637906546
ENGINE_RPM ()_roc,1.7912200966861522
COMMANDED_THROTTLE_ACTUATOR ()_roc,1.7671069599397184
FUEL_AIR_COMMANDED_EQUIV_RATIO ()_std,1.5865278403224987
ENGINE_LOAD ()_roc,1.2925662426750544
INTAKE_MANIFOLD_PRESSURE ()_roc,1.2777755507125903
LONG_TERM_FUEL_TRIM_BANK_1 ()_roc,1.091346097719464
